CustomerID,Tenure,MonthlyCharges,TotalCharges,CustomerType,Region,SupportTickets,LoginFrequency,Churn
CUST0042,20,62.40,1248.00,Basic,South,4,14,No
CUST0043,44,106.80,4699.20,Enterprise,East,2,24,No
CUST0044,5,36.70,183.50,Basic,West,9,3,Yes
CUST0045,37,81.90,3030.30,Premium,North,3,18,No
CUST0046,17,58.20,989.40,Basic,South,5,12,No
CUST0047,54,122.40,6609.60,Enterprise,East,1,29,No
CUST0048,6,37.50,225.00,Basic,West,8,5,Yes
CUST0049,32,74.60,2387.20,Premium,North,2,19,No
CUST0050,15,57.30,859.50,Basic,South,6,11,No
CUST0051,43,103.50,4450.50,Enterprise,East,2,23,No
CUST0052,4,29.80,119.20,Basic,West,10,2,Yes
CUST0053,38,83.70,3180.60,Premium,North,3,17,No
CUST0054,21,64.90,1362.90,Basic,South,4,15,No
CUST0055,56,128.70,7207.20,Enterprise,East,0,30,No
CUST0056,7,42.30,296.10,Basic,West,7,5,Yes
CUST0057,30,72.40,2172.00,Premium,North,2,19,No
CUST0058,12,51.60,619.20,Basic,South,6,9,Yes
CUST0059,48,111.90,5371.20,Enterprise,East,1,26,No
CUST0060,9,46.80,421.20,Basic,West,8,6,Yes
CUST0061,41,88.50,3628.50,Premium,North,2,21,No
CUST0062,19,61.70,1172.30,Basic,South,5,13,No
CUST0063,45,109.30,4918.50,Enterprise,East,2,25,No
CUST0064,5,34.60,173.00,Basic,West,9,3,Yes
CUST0065,36,77.80,2800.80,Premium,North,3,18,No
CUST0066,14,56.40,789.60,Basic,South,6,10,No
CUST0067,50,116.20,5810.00,Enterprise,East,1,27,No
CUST0068,8,44.90,359.20,Basic,West,7,5,Yes
CUST0069,33,76.50,2524.50,Premium,North,2,20,No
CUST0070,16,59.80,956.80,Basic,South,5,12,No
CUST0071,47,113.60,5339.20,Enterprise,East,1,26,No
CUST0072,6,38.20,229.20,Basic,West,8,4,Yes
CUST0073,39,85.40,3330.60,Premium,North,3,19,No
CUST0074,22,66.30,1458.60,Basic,South,4,15,No
CUST0075,52,119.80,6229.60,Enterprise,East,1,28,No
CUST0076,7,41.50,290.50,Basic,West,8,5,Yes
CUST0077,34,78.90,2682.60,Premium,North,2,18,No
CUST0078,13,53.70,698.10,Basic,South,6,9,Yes
CUST0079,49,115.40,5654.60,Enterprise,East,1,27,No
CUST0080,10,47.20,472.00,Basic,West,7,7,Yes
CUST0081,42,92.60,3889.20,Premium,North,2,21,No
CUST0082,18,60.10,1081.80,Basic,South,5,13,No
CUST0083,46,110.70,5092.20,Enterprise,East,2,25,No
CUST0084,5,33.40,167.00,Basic,West,9,3,Yes
CUST0085,37,82.10,3037.70,Premium,North,3,18,No
CUST0086,20,63.50,1270.00,Basic,South,4,14,No
CUST0087,51,118.90,6063.90,Enterprise,East,1,28,No
CUST0088,8,43.10,344.80,Basic,West,8,5,Yes
CUST0089,35,79.60,2786.00,Premium,North,2,19,No
CUST0090,17,58.90,1001.30,Basic,South,5,12,No
CUST0091,44,107.20,4716.80,Enterprise,East,2,24,No
CUST0092,6,39.30,235.80,Basic,West,9,4,Yes
CUST0093,40,87.80,3512.00,Premium,North,3,20,No
CUST0094,23,68.40,1573.20,Basic,South,4,16,No
CUST0095,53,121.50,6439.50,Enterprise,East,0,29,No
CUST0096,7,40.80,285.60,Basic,West,8,5,Yes
CUST0097,31,73.20,2269.20,Premium,North,2,19,No
CUST0098,14,55.10,771.40,Basic,South,6,10,No
CUST0099,48,112.80,5414.40,Enterprise,East,1,26,No
CUST0100,9,45.70,411.30,Basic,West,8,6,Yes
CUST0101,38,84.90,3226.20,Premium,North,3,17,No
CUST0102,24,70.20,1684.80,Basic,South,3,17,No
CUST0103,55,124.30,6836.50,Enterprise,East,1,29,No
CUST0104,4,31.50,126.00,Basic,West,10,2,Yes
CUST0105,36,80.70,2905.20,Premium,North,2,18,No
CUST0106,15,57.80,867.00,Basic,South,6,11,No
CUST0107,49,114.60,5615.40,Enterprise,East,1,27,No
CUST0108,8,44.30,354.40,Basic,West,7,5,Yes
CUST0109,32,75.30,2409.60,Premium,North,2,19,No
CUST0110,19,61.20,1162.80,Basic,South,5,13,No
CUST0111,45,108.40,4878.00,Enterprise,East,2,25,No
CUST0112,5,35.80,179.00,Basic,West,9,3,Yes
CUST0113,37,81.40,3011.80,Premium,North,3,18,No
CUST0114,21,65.60,1377.60,Basic,South,4,15,No
CUST0115,54,123.20,6652.80,Enterprise,East,1,29,No
CUST0116,6,38.90,233.40,Basic,West,8,4,Yes
CUST0117,33,76.90,2537.70,Premium,North,2,20,No
CUST0118,16,59.30,948.80,Basic,South,5,12,No
CUST0119,50,117.10,5855.00,Enterprise,East,1,28,No
CUST0120,7,41.10,287.70,Basic,West,8,5,Yes
CUST0121,39,86.20,3361.80,Premium,North,3,19,No
CUST0122,25,72.80,1820.00,Basic,South,3,17,No
CUST0123,52,120.40,6260.80,Enterprise,East,1,28,No
CUST0124,9,46.50,418.50,Basic,West,7,6,Yes
CUST0125,34,78.60,2672.40,Premium,North,2,18,No
CUST0126,18,60.70,1092.60,Basic,South,5,13,No
CUST0127,47,111.20,5226.40,Enterprise,East,1,26,No
CUST0128,6,37.80,226.80,Basic,West,9,4,Yes
CUST0129,40,88.10,3524.00,Premium,North,2,20,No
CUST0130,26,74.50,1937.00,Basic,South,3,18,No
CUST0131,51,119.30,6084.30,Enterprise,East,1,28,No
CUST0132,8,43.80,350.40,Basic,West,8,5,Yes
CUST0133,35,80.10,2803.50,Premium,North,2,19,No
CUST0134,22,67.90,1493.80,Basic,South,4,15,No
CUST0135,56,127.50,7140.00,Enterprise,East,0,30,No
CUST0136,7,42.60,298.20,Basic,West,7,5,Yes
CUST0137,31,74.10,2297.10,Premium,North,2,19,No
CUST0138,17,59.60,1013.20,Basic,South,5,12,No
CUST0139,48,113.90,5467.20,Enterprise,East,1,26,No
CUST0140,10,48.20,482.00,Basic,West,7,7,Yes
CUST0141,41,89.70,3677.70,Premium,North,2,21,No
CUST0142,27,76.30,2060.10,Basic,South,3,18,No
CUST0143,53,122.10,6471.30,Enterprise,East,0,29,No
CUST0144,5,34.20,171.00,Basic,West,9,3,Yes
CUST0145,36,79.80,2872.80,Premium,North,3,18,No
CUST0146,20,64.30,1286.00,Basic,South,4,14,No
CUST0147,49,115.70,5669.30,Enterprise,East,1,27,No
CUST0148,8,44.70,357.60,Basic,West,7,5,Yes
CUST0149,33,77.40,2554.20,Premium,North,2,20,No
CUST0150,23,69.10,1589.30,Basic,South,4,16,No
CUST0151,54,123.80,6685.20,Enterprise,East,1,29,No
CUST0152,6,39.60,237.60,Basic,West,9,4,Yes
CUST0153,38,83.30,3165.40,Premium,North,3,17,No
CUST0154,24,71.50,1716.00,Basic,South,3,17,No
CUST0155,55,125.90,6924.50,Enterprise,East,1,29,No
CUST0156,7,40.50,283.50,Basic,West,8,5,Yes
CUST0157,32,75.60,2419.20,Premium,North,2,19,No
CUST0158,19,62.80,1193.20,Basic,South,5,13,No
CUST0159,46,109.80,5050.80,Enterprise,East,2,25,No
CUST0160,9,47.80,430.20,Basic,West,8,6,Yes
CUST0161,37,82.50,3052.50,Premium,North,3,18,No
CUST0162,21,66.70,1400.70,Basic,South,4,15,No
CUST0163,52,121.00,6292.00,Enterprise,East,1,28,No
CUST0164,8,45.40,363.20,Basic,West,7,5,Yes
CUST0165,34,79.30,2696.20,Premium,North,2,18,No
CUST0166,18,61.50,1107.00,Basic,South,5,13,No
CUST0167,47,112.50,5287.50,Enterprise,East,1,26,No
CUST0168,6,38.50,231.00,Basic,West,8,4,Yes
CUST0169,39,85.80,3346.20,Premium,North,3,19,No
CUST0170,25,73.60,1840.00,Basic,South,3,17,No
CUST0171,53,122.70,6503.10,Enterprise,East,0,29,No
CUST0172,7,41.80,292.60,Basic,West,8,5,Yes
CUST0173,31,74.80,2318.80,Premium,North,2,19,No
CUST0174,16,58.40,934.40,Basic,South,5,12,No
CUST0175,50,116.80,5840.00,Enterprise,East,1,27,No
CUST0176,8,43.50,348.00,Basic,West,8,5,Yes
CUST0177,35,80.50,2817.50,Premium,North,2,19,No
CUST0178,22,68.20,1500.40,Basic,South,4,15,No
CUST0179,51,118.50,6043.50,Enterprise,East,1,28,No
CUST0180,10,49.10,491.00,Basic,West,7,7,Yes
CUST0181,42,91.00,3822.00,Premium,North,2,21,No
CUST0182,28,78.40,2195.20,Basic,South,3,19,No
CUST0183,54,124.60,6728.40,Enterprise,East,1,29,No
CUST0184,5,36.20,181.00,Basic,West,9,3,Yes
CUST0185,36,81.20,2923.20,Premium,North,3,18,No
CUST0186,20,65.00,1300.00,Basic,South,4,14,No
CUST0187,49,114.90,5630.10,Enterprise,East,1,27,No
CUST0188,8,44.00,352.00,Basic,West,7,5,Yes
CUST0189,33,77.10,2544.30,Premium,North,2,20,No
CUST0190,23,69.80,1605.40,Basic,South,4,16,No
CUST0191,55,126.30,6946.50,Enterprise,East,1,29,No
CUST0192,6,39.90,239.40,Basic,West,9,4,Yes
CUST0193,38,84.60,3214.80,Premium,North,3,17,No
CUST0194,24,72.20,1732.80,Basic,South,3,17,No
CUST0195,56,129.00,7224.00,Enterprise,East,0,30,No
CUST0196,7,42.00,294.00,Basic,West,8,5,Yes
CUST0197,32,76.20,2438.40,Premium,North,2,19,No
CUST0198,19,63.40,1204.60,Basic,South,5,13,No
CUST0199,46,110.20,5069.20,Enterprise,East,2,25,No
CUST0200,9,48.50,436.50,Basic,West,8,6,Yes
